Country,Correlation_Coefficient
World,0.99
UK,0.98
Argentina,0.98
South Africa,0.96
France,0.96
Spain,0.94
Peru,0.94
US,0.92
India,0.92
Colombia,0.91
Chile,0.90
Italy,0.88
Iran,0.87
Russia,0.83
Brazil,0.82
Mexico,0.77
