Country,Correlation Coefficient
World,0.992971834
US,0.924002543
Brazil,0.819180916
India,0.916541618
Mexico,0.771665496
UK,0.982112668
Italy,0.87741518
France,0.963521731
Peru,0.937547973
Spain,0.939137177
Iran,0.872501525
Colombia,0.906204959
Russia,0.83295975
South Africa,0.964424036
Chile,0.902804039
Argentina,0.981074054
